Calc 1,Álg.Linear,Est.Dados,Bnc.Dados 1,Eng.Softw.,PJA 1
6.27,8.1,9.83,8.94,4.8,7.48
9.1,10.0,8.24,9.33,6.44,5.86
6.69,10.0,6.75,5.55,9.62,5.8
4.88,3.42,1.53,10.0,7.04,8.69
6.19,10.0,5.75,8.36,3.97,6.83
6.72,8.3,7.21,8.98,7.38,7.73
3.01,5.25,6.08,7.59,3.03,8.15
2.48,8.47,7.25,3.33,6.73,6.41
5.87,8.58,9.05,7.54,7.6,5.82
1.35,10.0,9.68,8.53,9.9,9.12
8.73,6.37,8.39,6.97,10.0,6.96
3.31,6.12,6.44,7.67,10.0,7.82
3.82,8.36,7.11,7.24,4.27,7.28
2.31,8.98,10.0,6.58,9.58,8.99
6.67,5.84,8.39,6.73,8.68,8.7
2.88,10.0,7.35,10.0,3.62,7.42
3.42,9.18,9.75,9.45,4.84,6.94
3.44,5.45,6.63,4.76,10.0,10.0
3.5,7.28,5.93,5.45,5.98,8.9
4.57,7.46,6.71,4.73,3.21,8.09
5.8,6.61,7.01,5.66,8.06,9.71
6.4,7.95,8.83,8.07,7.17,8.22
4.11,4.33,8.19,9.44,9.46,8.69
5.35,6.86,7.95,8.41,8.54,6.94
0.66,6.69,6.15,9.1,8.03,8.31
4.25,10.0,10.0,7.1,10.0,8.25
5.63,7.01,4.55,9.88,9.86,8.39
7.03,10.0,6.36,7.62,4.14,9.19
4.81,5.98,3.19,9.15,8.87,5.91
