Ano,Regiao,Tipo,Nome_Item,Receita_Bilhoes,Churn_Rate
2010,América do Norte,Cinema,Ação,2.38,
2010,América do Norte,Cinema,Drama,2.02,
2010,América do Norte,Cinema,Comédia,2.46,
2010,América do Norte,Cinema,Terror,2.95,
2010,América do Norte,Streaming,Netflix,0.2,2.4
2010,América do Norte,Streaming,Prime Video,0.67,3.7
2010,Europa,Cinema,Ação,1.31,
2010,Europa,Cinema,Drama,1.72,
2010,Europa,Cinema,Comédia,1.31,
2010,Europa,Cinema,Terror,1.31,
2010,Europa,Streaming,Netflix,0.25,1.9
2010,Europa,Streaming,Prime Video,0.05,3.3
2010,Latam,Cinema,Ação,0.77,
2010,Latam,Cinema,Drama,1.14,
2010,Latam,Cinema,Comédia,0.8,
2010,Latam,Cinema,Terror,0.65,
2010,Latam,Streaming,Netflix,0.3,2.4
2010,Latam,Streaming,Prime Video,0.13,3.1
2010,Ásia,Cinema,Ação,1.54,
2010,Ásia,Cinema,Drama,1.85,
2010,Ásia,Cinema,Comédia,1.25,
2010,Ásia,Cinema,Terror,1.98,
2010,Ásia,Streaming,Netflix,0.08,2.4
2010,Ásia,Streaming,Prime Video,0.08,4.1
2011,América do Norte,Cinema,Ação,2.3,
2011,América do Norte,Cinema,Drama,1.72,
2011,América do Norte,Cinema,Comédia,2.77,
2011,América do Norte,Cinema,Terror,1.63,
2011,América do Norte,Streaming,Netflix,0.38,1.9
2011,América do Norte,Streaming,Prime Video,0.05,3.6
2011,Europa,Cinema,Ação,1.95,
2011,Europa,Cinema,Drama,1.72,
2011,Europa,Cinema,Comédia,1.6,
2011,Europa,Cinema,Terror,1.53,
2011,Europa,Streaming,Netflix,0.05,2.3
2011,Europa,Streaming,Prime Video,0.16,3.8
2011,Latam,Cinema,Ação,1.25,
2011,Latam,Cinema,Drama,0.66,
2011,Latam,Cinema,Comédia,1.25,
2011,Latam,Cinema,Terror,1.05,
2011,Latam,Streaming,Netflix,0.07,2.7
2011,Latam,Streaming,Prime Video,0.27,3.8
2011,Ásia,Cinema,Ação,1.58,
2011,Ásia,Cinema,Drama,1.83,
2011,Ásia,Cinema,Comédia,2.14,
2011,Ásia,Cinema,Terror,2.45,
2011,Ásia,Streaming,Netflix,0.15,2.4
2011,Ásia,Streaming,Prime Video,0.05,3.1
2012,América do Norte,Cinema,Ação,2.98,
2012,América do Norte,Cinema,Drama,3.28,
2012,América do Norte,Cinema,Comédia,2.48,
2012,América do Norte,Cinema,Terror,3.08,
2012,América do Norte,Streaming,Netflix,0.5,2.3
2012,América do Norte,Streaming,Prime Video,0.5,4.0
2012,Europa,Cinema,Ação,1.79,
2012,Europa,Cinema,Drama,2.43,
2012,Europa,Cinema,Comédia,0.75,
2012,Europa,Cinema,Terror,2.13,
2012,Europa,Streaming,Netflix,0.33,2.4
2012,Europa,Streaming,Prime Video,0.33,2.9
2012,Latam,Cinema,Ação,1.2,
2012,Latam,Cinema,Drama,1.36,
2012,Latam,Cinema,Comédia,1.67,
2012,Latam,Cinema,Terror,1.11,
2012,Latam,Streaming,Netflix,0.09,2.3
2012,Latam,Streaming,Prime Video,0.3,3.6
2012,Ásia,Cinema,Ação,1.91,
2012,Ásia,Cinema,Drama,2.41,
2012,Ásia,Cinema,Comédia,2.21,
2012,Ásia,Cinema,Terror,2.62,
2012,Ásia,Streaming,Netflix,0.17,2.4
2012,Ásia,Streaming,Prime Video,0.23,3.1
2013,América do Norte,Cinema,Ação,2.9,
2013,América do Norte,Cinema,Drama,2.88,
2013,América do Norte,Cinema,Comédia,2.73,
2013,América do Norte,Cinema,Terror,2.6,
2013,América do Norte,Streaming,Netflix,0.14,2.4
